session_id,client_id,session_date,session_type,duration_minutes,focus_area,general_notes
S001,CL001,2024-11-25,Full Body,,,"Great session - 90% improvement. Balance issues on left side during RDL"
S002,CL001,2024-12-02,Lateral Focus,,Lateral,"Tabata finisher. Too easy for 1st round bird dog"
S003,CL001,2024-12-09,Lower Body,,,"Good weight for 4 sets on squats. Hip issues during KB swings"
S004,CL001,2024-12-18,Full Body,,,"Grip failed before legs on deadlifts"
S005,CL001,2024-12-27,Partner Session,,,"With Patrick - 2 heads are better than 1"
S006,CL001,2024-12-30,Full Body,,,"2 grip makes ball slams harder. Right side harder on weighted lunges"
S007,CL001,2025-01-06,Cardio/Core,,,"325m average pace. Needs to go lower on triceps"
S008,CL001,2025-01-07,Recovery,,,"Sore lower back from carrying kid"
S009,CL001,2025-01-21,Lower Body,,,"From 12/9 template. Add bounce exercise soon for adductors"
S010,CL001,2025-01-27,Circuit,,,"15 min late - not whole workout. Before/after each circuit: contralateral pickup"
S011,CL001,2025-02-05,Full Body,,,"Mosquito lagoon, Steve's diner"
S012,CL001,2025-02-11,Full Body,,,"Similar to 12/18/24 session"
S013,CL001,2025-02-25,Upper/Lower,,,"Good form progress"
S014,CL001,2025-03-03,Full Body,,,"Can't bring to chest weight - need gloves, cheese grater bar"
S015,CL001,2025-03-10,Full Body,,,"Time/lots of legs already"
S016,CL001,2025-04-02,Full Body,,,"Finished 5 minutes early"
S017,CL001,2025-04-18,Recovery,,,"Right knee still in pain, introduced new exercises"
S018,CL001,2025-04-28,Full Body,,,"Right knee introduced 10 min late"
S019,CL001,2025-05-19,Circuit,40,,"Similar to 5/1/25, May 31st possible cancellation"
S020,CL001,2025-05-20,Full Body,,,"Morning session at Scalloping"
S021,CL001,2025-06-02,Partner Session,,,"1/2 kneeling rectus femoris stretch"
S022,CL001,2025-06-13,Lower Body,Low Energy,,"Low energy day"
S023,CL001,2025-06-16,Full Body,,,"Push/pull pattern"
S024,CL001,2025-06-25,Full Body,,,"New hook grips"
S025,CL001,2025-06-28,Full Body,10,,"10 min late"
S026,CL001,2025-07-09,Full Body,15,,"15 min late"
S027,CL001,2025-07-18,Partner Session,,,"With Patrick"
S028,CL001,2025-07-23,Full Body,10,,"10 min late"
S029,CL001,2025-07-28,Full Body,,,"Block programming introduced"
S030,CL001,2025-08-06,Full Body,,,"Morning training at Scalloping - west coast"
S031,CL001,2025-08-11,Partner Session,,,"With Patrick"
